SMILES,Texpi
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,308
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,298
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,310
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,308
CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O,299
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,299
CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,299
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,310
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,299
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,298
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,298
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,298
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,310
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,298
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,298
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,310
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,310
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,305
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,310
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,298
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,299
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,298
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,298
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,298
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,298
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,310
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,298
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,305
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,305
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,303
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,308
