Compound_Name,Canonical_SMILES,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Low_Source_Data_Row,High_Source_Data_Row,Low_Reference,High_Reference,Low_DOI,High_DOI,Differing_Condition_Count,Differing_Conditions,Low_skin source type,High_skin source type,Low_skin source site,High_skin source site,Low_used layer,High_used layer,Low_skin preparation,High_skin preparation,Low_storage temperature (°C),High_storage temperature (°C),Low_storage duration (days),High_storage duration (days),Low_neat,High_neat,Low_donor/skin surface temperature (°C),High_donor/skin surface temperature (°C),Low_donor pH,High_donor pH,Low_donor type,High_donor type,Low_acceptor temperature (°C),High_acceptor temperature (°C),Low_acceptor pH,High_acceptor pH,Low_acceptor type,High_acceptor type,Low_cell type,High_cell type
Methanol,CO,3,-6.85700000,-6.35200000,0.50500000,3.19889511,0.04073232,286,504,"Scheuplein, 1973","Southwell, 1984",10.1111/1523-1747.ep12723090,10.1016/0378-5173(84)90145-5,6,used layer | skin preparation | storage temperature (°C) | donor/skin surface temperature (°C) | acceptor type | cell type,Cadaver,Cadaver,abdomen,abdomen,epidermis,stratum corneum,heat separation,"heat separation, hydrated",4,unknown,unknown,unknown,0,0,25,30,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Water,unknown,Pyrex cell,Glass diffusion cell
Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,7,-7.68100000,-7.19500000,0.48600000,3.06196343,0.05130389,399,135,"Sznitowska, 2001","Johnson, 1995",10.1016/s0168-3659(01)00443-6,10.1002/jps.2600840922,11,skin source site | used layer | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Cadaver,abdomen,"abdomen, chest, back","epidermis, dermis",epidermis,unknown,heat separation,-30,5,unknown,7,0,0,37,unknown,6,unknown,"Ethanol, Britton-Robinson buffer",unknown,37,unknown,unknown,unknown,"NaCl, Sodium azide",unknown,Flow through cell,Glass diffusion cell
Lysine,NCCCC[C@H](N)C(=O)O,2,-7.32800000,-6.86000000,0.46800000,2.93764965,0.00000000,319,320,"Sznitowska, 1993","Sznitowska, 1993",10.1016/0378-5173(93)90321-6,10.1016/0378-5173(93)90321-6,1,donor pH,Cadaver,Cadaver,thigh,thigh,"epidermis, dermis","epidermis, dermis",dermatomed 500um,dermatomed 500um,-20,-20,unknown,unknown,0,0,unknown,unknown,7.3,8.9,NaCl solution,NaCl solution,37,37,7.3,7.3,NaCl solution,NaCl solution,Glass diffusion cell,Glass diffusion cell
Methyl 4-hydroxybenzoate,COC(=O)c1ccc(O)cc1,4,-5.63400000,-5.23000000,0.40400000,2.53512863,0.03081197,225,3,"Romonchuk, 2010","Akomeah, 2007",10.1159/000272121,10.1002/jps.20773,7,skin source type | skin source site | storage temperature (°C) | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,Cadaver,Abdominoplasty,"back, leg",abdomen,epidermis,epidermis,heat separation,heat separation,-70,unknown,unknown,unknown,0,0,32,32,7.4,7.4,PBS,PBS,32,37,7.4,unknown,PBS with sodium azide,PBS,unknown,Franz cell
Mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,4,-8.15800000,-7.77100000,0.38700000,2.43781082,0.06733495,383,498,"Clowes, 1994","Scott, 1990",10.1016/0887-2333(94)90078-7,10.1111/1523-1747.ep12475447,9,used layer | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Cadaver,abdomen,abdomen,epidermis,unknown,heat separation,unknown,unknown,7,unknown,4,0,0,32,30,unknown,unknown,NaCl solution,unknown,32,30,unknown,unknown,NaCl solution,unknown,Flow through cell,unknown
Water,O,9,-6.70700000,-6.32300000,0.38400000,2.42102905,0.00000000,382,28,"Clowes, 1994","Astley, 1976",10.1016/0887-2333(94)90078-7,10.1002/jps.2600650210 ,12,skin source type | skin source site | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor pH | acceptor type | cell type,Cadaver,Amputated limb,abdomen,"thigh, leg","epidermis, dermis","epidermis, dermis",dermatomed 130um,dermatomed 380um,unknown,-20,4,90,0,0,32,unknown,unknown,7,NaCl solution,PBS,33,unknown,unknown,7,NaCl solution,PBS,Flow through cell,Glass diffusion cell
Butoxyethanol,CCCCOC(C)O,3,-6.36400000,-5.98200000,0.38200000,2.40990543,0.00000000,538,537,"Wilkinson, 2006","Wilkinson, 2006",10.1007/s00420-005-0056-5,10.1007/s00420-005-0056-5,1,skin preparation,Mammaplasty,Mammaplasty,breast,breast,"epidermis, dermis","epidermis, dermis",unknown,"dermatomed 330um, hydrated",unknown,unknown,unknown,unknown,0,0,32,32,unknown,unknown,Water,Water,37,37,7.4,7.4,"Saline, HCl","Saline, HCl",unknown,unknown
2-Propoxyethanol,CCCOCCO,2,-6.92300000,-6.54300000,0.38000000,2.39883292,0.00000000,339,334,"Venier, 2004","Venier, 2004",10.1016/j.tiv.2004.03.004,10.1016/j.tiv.2004.03.004,1,neat,Surgery,Surgery,abdomen,abdomen,"epidermis, dermis","epidermis, dermis",fat removed,fat removed,-25,-25,120,120,1,0,unknown,unknown,unknown,unknown,unknown,unknown,32,32,unknown,unknown,NaCl solution,NaCl solution,Franz cell,Franz cell
Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3,-5.44200000,-5.07900000,0.36300000,2.30674719,0.05246418,174,136,"Mitragotri, 1995","Johnson, 1995",10.1002/jps.2600840607,10.1002/jps.2600840922,6,skin source site | storage temperature (°C) | donor/skin surface temperature (°C) | donor type | acceptor temperature (°C) | acceptor type,Cadaver,Cadaver,"abdomen, back","abdomen, chest, back",epidermis,epidermis,heat separation,heat separation,4,5,7,7,0,0,25,unknown,unknown,unknown,PBS,unknown,25,unknown,unknown,unknown,PBS,unknown,Glass diffusion cell,Glass diffusion cell
2-Naphthol,Oc1ccc2ccccc2c1,2,-5.11100000,-4.75700000,0.35400000,2.25943577,0.02450913,217,358,"Roberts, 1977","Zhang, 2009",10.1111/j.2042-7158.1977.tb11434.x ,10.1007/s11095-009-9912-4,10,skin source type | skin preparation | storage temperature (°C) | storage duration (days) | donor/skin surface temperature (°C) | donor pH | donor type | acceptor temperature (°C) | acceptor type | cell type,Cadaver,Abdominoplasty,abdomen,abdomen,epidermis,epidermis,exposure to ammonia fumes,heat separation,unknown,-20,unknown,90,0,0,25,32,unknown,7.4,unknown,PBS,25,32,unknown,unknown,unknown,PBS with ethanol,Pyrex cell,Franz cell
