Variability_Rank,Canonical_SMILES,Compound_Name,Selected_Measurements,Experimental_Min,Experimental_Max,Experimental_Mean,Experimental_Median,Experimental_SD,Predicted_Min,Predicted_Max,Condition_Signatures,References,DOIs,Experimental_Range,Experimental_Fold_Range_Kp,Predicted_Range,Variability_Band
52,CC(O)C(C)O,"2,3-Butanediol",2,-7.85700000,-7.85700000,-7.85700000,-7.85700000,0.00000000,-7.55467300,-7.51394067,2,2,2,0.00000000,1.00000000,0.04073233,Low (≤0.5 log unit)
53,CCC(C)=O,Butan-2-one,2,-5.90300000,-5.90300000,-5.90300000,-5.90300000,0.00000000,-6.34493728,-6.29942838,2,2,2,0.00000000,1.00000000,0.04550890,Low (≤0.5 log unit)
54,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,Fluocinonide,2,-6.32600000,-6.32600000,-6.32600000,-6.32600000,0.00000000,-6.49437877,-6.49437877,2,1,1,0.00000000,1.00000000,0.00000000,Low (≤0.5 log unit)
55,Oc1ccc(O)c(O)c1,"1,2,4-Benzenetriol",1,-7.45600000,-7.45600000,-7.45600000,-7.45600000,,-7.24970682,-7.24970682,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
56,CCCCCCN1CCCC1=O,1-Hexyl-2-Pyrrolidone,1,-5.20800000,-5.20800000,-5.20800000,-5.20800000,,-5.28566611,-5.28566611,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
57,CCCCCCCCCO,1-Nonanol,1,-4.77800000,-4.77800000,-4.77800000,-4.77800000,,-4.82738482,-4.82738482,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
58,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,17-Hydroxyprogesterone,1,-6.77800000,-6.77800000,-6.77800000,-6.77800000,,-6.71324768,-6.71324768,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
59,Oc1c(Cl)cc(Cl)cc1Cl,"2,4,6-Trichlorophenol",1,-4.78300000,-4.78300000,-4.78300000,-4.78300000,,-4.80543357,-4.80543357,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
60,Nc1cc([N+](=O)[O-])ccc1O,2-Amino-4-Nitrophenol,1,-6.73700000,-6.73700000,-6.73700000,-6.73700000,,-6.69091160,-6.69091160,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
61,CCCCOCCO,2-Butoxyethanol,1,-5.26800000,-5.26800000,-5.26800000,-5.26800000,,-5.79545676,-5.79545676,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
62,CCOCCOC(C)=O,2-Ethoxyethyl acetate,1,-6.64900000,-6.64900000,-6.64900000,-6.64900000,,-6.17813852,-6.17813852,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
63,CCCCC(CC)CO,2-Ethylhexanol,1,-4.34300000,-4.34300000,-4.34300000,-4.34300000,,-4.93673172,-4.93673172,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
64,COCCO,2-Methoxyethanol,1,-6.09500000,-6.09500000,-6.09500000,-6.09500000,,-6.40675730,-6.40675730,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
65,Nc1ccc(N)c([N+](=O)[O-])c1,2-Nitro-p-Phenylenediamine,1,-6.85700000,-6.85700000,-6.85700000,-6.85700000,,-6.47061896,-6.47061896,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
66,OCCc1ccccc1,2-Phenylethanol,1,-5.27600000,-5.27600000,-5.27600000,-5.27600000,,-5.26347735,-5.26347735,1,1,1,0.00000000,1.00000000,0.00000000,Single measurement
