row #,COSMOS ID,CAS RN,COSMOS Name,STRUCTURE NOTE,SMILES,InChI,InChIKey,Atoms,Bonds,BondsRot,HAcc,HAccN,HAccO,HDon,HDonN,HDonO,Ro5Viol,Ro5ViolExt,Stereo,Weight,Complex,ComplexRing,TPSA,XlogP,Experimental_logKp_available,Experimental_logKp_record_count,Experimental_logKp_values_log10_cm_per_s,Experimental_logKp_mean_log10_cm_per_s,Experimental_logKp_median_log10_cm_per_s,Experimental_logKp_min_log10_cm_per_s,Experimental_logKp_max_log10_cm_per_s,Structure_match_method,Experimental_source,Source_URL
377,CMS-1848,106-44-5,P-CRESOL,EXACT STRUCTURE,Cc1ccc(O)cc1,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",IWDCLRJOBJJRNH-UHFFFAOYSA-N,16,16,0,1,0,1,1,0,1,0,0,0,108.138,62.7871,1,20.23,2.04752,Yes,2,-5.313 | -4.477,-4.895000,-4.895000,-5.313000,-4.477000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
378,CMS-1937,123-07-9,P-ETHYLPHENOL,EXACT STRUCTURE,CCc1ccc(O)cc1,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",HXDOZKJGKXYMEW-UHFFFAOYSA-N,19,19,1,1,0,1,1,0,1,0,0,0,122.164,72.6368,1,20.23,2.30381,Yes,1,-5.014,-5.014000,-5.014000,-5.014000,-5.014000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
382,CMS-1777,84-74-2,DIBUTYL PHTHALATE,EXACT STRUCTURE,CCCCOC(=O)c1ccccc1C(=O)OCCCC,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N,42,42,10,4,0,4,0,0,0,0,0,0,278.343,270.852,1,52.6,4.33365,Yes,1,-9.195,-9.195000,-9.195000,-9.195000,-9.195000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
386,CMS-1253,108-46-3,RESORCINOL,EXACT STRUCTURE,Oc1cccc(O)c1,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H",GHMLBKRAJCXXBS-UHFFFAOYSA-N,14,14,0,2,0,2,2,0,2,0,0,0,110.111,64.9288,1,40.46,1.20138,Yes,2,-7.176 | -6.626,-6.901000,-6.901000,-7.176000,-6.626000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
387,CMS-1936,122-99-6,ETHYLENE GLYCOL MONOPHENYL ETHER,EXACT STRUCTURE,OCCOc1ccccc1,"InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2",QCDWFXQBSFUVSP-UHFFFAOYSA-N,20,20,3,2,0,2,1,0,1,0,0,0,138.164,77.3268,1,29.46,1.21617,Yes,1,-6.43,-6.430000,-6.430000,-6.430000,-6.430000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
397,CMS-1750,71-36-3,BUTYL ALCOHOL,EXACT STRUCTURE,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N,15,14,2,1,0,1,1,0,1,0,0,0,74.1216,13.1194,0,20.23,0.807053,Yes,14,-7.778 | -6.556 | -6.214 | -6.158 | -6.079 | -5.816 | -5.659 | -5.481 | -5.193 | -5.079 | -4.703,-5.940500,-6.079000,-7.778000,-4.703000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
398,CMS-1898,111-27-3,HEXYL ALCOHOL,EXACT STRUCTURE,CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",ZSIAUFGUXNUGDI-UHFFFAOYSA-N,21,20,4,1,0,1,1,0,1,0,0,0,102.175,27.361,0,20.23,1.6996,Yes,13,-7.84 | -7.012 | -5.778 | -5.637 | -5.442 | -5.284 | -5.255 | -5.114 | -5.051 | -4.888 | -4.859 | -2.442,-5.388000,-5.284000,-7.840000,-2.442000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
404,CMS-110,50-78-2,ASPIRIN,EXACT STRUCTURE,CC(=O)Oc1ccccc1C(=O)O,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,21,21,3,4,0,4,1,0,1,0,0,0,180.157,211.66,1,63.6,1.44311,Yes,1,-5.696,-5.696000,-5.696000,-5.696000,-5.696000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
405,CMS-1776,84-66-2,DIETHYL PHTHALATE,EXACT STRUCTURE,CCOC(=O)c1ccccc1C(=O)OCC,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",FLKPEMZONWLCSK-UHFFFAOYSA-N,30,30,6,4,0,4,0,0,0,0,0,0,222.237,223.403,1,52.6,2.76194,Yes,1,-8.499,-8.499000,-8.499000,-8.499000,-8.499000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
410,CMS-4496,119-36-8,METHYL SALICYLATE,EXACT STRUCTURE,COC(=O)c1ccccc1O,"InChI=1S/C8H8O3/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5,9H,1H3",OSWPMRLSEDHDFF-UHFFFAOYSA-N,19,19,2,3,0,3,1,0,1,0,0,0,152.147,144.273,1,46.53,2.51975,Yes,1,-5,-5.000000,-5.000000,-5.000000,-5.000000,InChIKey (provided),HuSKIN DB v1.01,https://huskindb.drug-design.de/data/
