Variability_Rank,Compound_Name,Canonical_SMILES,SMILES_Values,All_Measurements,Selected_Measurements,Excluded_Measurements,Selection_Coverage_Percent,Variability_Band,Experimental_All_Min,Experimental_All_Max,Experimental_All_Mean,Experimental_All_Median,Experimental_All_SD,Experimental_All_IQR,Experimental_All_Range,Experimental_All_Fold_Range_Kp,Experimental_Selected_Min,Experimental_Selected_Max,Experimental_Selected_Mean,Experimental_Selected_Median,Experimental_Selected_SD,Experimental_Selected_IQR,Experimental_Selected_Range,Prediction_All_Min,Prediction_All_Max,Prediction_All_Mean,Prediction_All_Median,Prediction_All_SD,Prediction_All_IQR,Prediction_All_Range,Prediction_All_Unique_Count,Prediction_Selected_Min,Prediction_Selected_Max,Prediction_Selected_Mean,Prediction_Selected_Median,Prediction_Selected_SD,Prediction_Selected_IQR,Prediction_Selected_Range,Prediction_Selected_Unique_Count,Absolute_Error_Selected_Min,Absolute_Error_Selected_Max,Absolute_Error_Selected_Mean,Condition_Combinations_All,Condition_Combinations_Selected,Donor_Surface_Temperatures_All,Donor_Surface_Temperatures_Selected,References_All,References_Selected,Reference_Count_All,Reference_Count_Selected,DOIs_All,DOIs_Selected,DOI_Count_All,DOI_Count_Selected
85,4-Chloro-m-Phenylenediamine,Nc1ccc(Cl)c(N)c1,Nc1ccc(c(c1)N)Cl,1,1,0,100.00000000,Single measurement,-6.23400000,-6.23400000,-6.23400000,-6.23400000,,0.00000000,0.00000000,1.00000000,-6.23400000,-6.23400000,-6.23400000,-6.23400000,,0.00000000,0.00000000,-6.53106253,-6.53106253,-6.53106253,-6.53106253,,0.00000000,0.00000000,1,-6.53106253,-6.53106253,-6.53106253,-6.53106253,,0.00000000,0.00000000,1,0.29706253,0.29706253,0.29706253,1,1,32,32,"Bronaugh, 1984","Bronaugh, 1984",1,1,10.1111/1523-1747.ep12263302,10.1111/1523-1747.ep12263302,1,1
86,4-Cyanophenol,N#Cc1ccc(O)cc1,N#Cc1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-5.73100000,-5.73100000,-5.73100000,-5.73100000,,0.00000000,0.00000000,1.00000000,-5.73100000,-5.73100000,-5.73100000,-5.73100000,,0.00000000,0.00000000,-5.99638997,-5.99638997,-5.99638997,-5.99638997,,0.00000000,0.00000000,1,-5.99638997,-5.99638997,-5.99638997,-5.99638997,,0.00000000,0.00000000,1,0.26538997,0.26538997,0.26538997,1,1,32,32,"Romonchuk, 2010","Romonchuk, 2010",1,1,10.1159/000272121,10.1159/000272121,1,1
87,4-Hydroxybenzyl alcohol,OCc1ccc(O)cc1,OCc1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-6.25500000,-6.25500000,-6.25500000,-6.25500000,,0.00000000,0.00000000,1.00000000,-6.25500000,-6.25500000,-6.25500000,-6.25500000,,0.00000000,0.00000000,-6.22689133,-6.22689133,-6.22689133,-6.22689133,,0.00000000,0.00000000,1,-6.22689133,-6.22689133,-6.22689133,-6.22689133,,0.00000000,0.00000000,1,0.02810867,0.02810867,0.02810867,1,1,,,"Anderson, 1989","Anderson, 1989",1,1,10.1111/1523-1747.ep12277592,10.1111/1523-1747.ep12277592,1,1
88,4-Hydroxyphenylacetamide,NC(=O)Cc1ccc(O)cc1,NC(=O)Cc1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-6.90300000,-6.90300000,-6.90300000,-6.90300000,,0.00000000,0.00000000,1.00000000,-6.90300000,-6.90300000,-6.90300000,-6.90300000,,0.00000000,0.00000000,-6.94833267,-6.94833267,-6.94833267,-6.94833267,,0.00000000,0.00000000,1,-6.94833267,-6.94833267,-6.94833267,-6.94833267,,0.00000000,0.00000000,1,0.04533267,0.04533267,0.04533267,1,1,,,"Anderson, 1989","Anderson, 1989",1,1,10.1111/1523-1747.ep12277592,10.1111/1523-1747.ep12277592,1,1
89,4-Hydroxyphenylacetic acid,O=C(O)Cc1ccc(O)cc1,OC(=O)Cc1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-6.15800000,-6.15800000,-6.15800000,-6.15800000,,0.00000000,0.00000000,1.00000000,-6.15800000,-6.15800000,-6.15800000,-6.15800000,,0.00000000,0.00000000,-5.72637179,-5.72637179,-5.72637179,-5.72637179,,0.00000000,0.00000000,1,-5.72637179,-5.72637179,-5.72637179,-5.72637179,,0.00000000,0.00000000,1,0.43162821,0.43162821,0.43162821,1,1,,,"Anderson, 1989","Anderson, 1989",1,1,10.1111/1523-1747.ep12277592,10.1111/1523-1747.ep12277592,1,1
90,4-Propoxyphenol,CCCOc1ccc(O)cc1,CCCOc1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-5.38000000,-5.38000000,-5.38000000,-5.38000000,,0.00000000,0.00000000,1.00000000,-5.38000000,-5.38000000,-5.38000000,-5.38000000,,0.00000000,0.00000000,-5.38214544,-5.38214544,-5.38214544,-5.38214544,,0.00000000,0.00000000,1,-5.38214544,-5.38214544,-5.38214544,-5.38214544,,0.00000000,0.00000000,1,0.00214544,0.00214544,0.00214544,1,1,32,32,"Zhang, 2009","Zhang, 2009",1,1,10.1007/s11095-009-9912-4,10.1007/s11095-009-9912-4,1,1
91,5-Aminolevulinic acid,NCC(=O)CCC(=O)O,NCC(=O)CCC(=O)O,1,1,0,100.00000000,Single measurement,-7.71100000,-7.71100000,-7.71100000,-7.71100000,,0.00000000,0.00000000,1.00000000,-7.71100000,-7.71100000,-7.71100000,-7.71100000,,0.00000000,0.00000000,-7.28233296,-7.28233296,-7.28233296,-7.28233296,,0.00000000,0.00000000,1,-7.28233296,-7.28233296,-7.28233296,-7.28233296,,0.00000000,0.00000000,1,0.42866704,0.42866704,0.42866704,1,1,35,35,"Krishnan, 2011","Krishnan, 2011",1,1,10.1002/bip.21520,10.1002/bip.21520,1,1
92,Acetic acid,CC(=O)O,CC(=O)O,1,1,0,100.00000000,Single measurement,-6.07900000,-6.07900000,-6.07900000,-6.07900000,,0.00000000,0.00000000,1.00000000,-6.07900000,-6.07900000,-6.07900000,-6.07900000,,0.00000000,0.00000000,-6.35939149,-6.35939149,-6.35939149,-6.35939149,,0.00000000,0.00000000,1,-6.35939149,-6.35939149,-6.35939149,-6.35939149,,0.00000000,0.00000000,1,0.28039149,0.28039149,0.28039149,1,1,,,"Buist, 2010","Buist, 2010",1,1,10.1016/j.yrtph.2010.02.008,10.1016/j.yrtph.2010.02.008,1,1
93,Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,1,1,0,100.00000000,Single measurement,-5.69600000,-5.69600000,-5.69600000,-5.69600000,,0.00000000,0.00000000,1.00000000,-5.69600000,-5.69600000,-5.69600000,-5.69600000,,0.00000000,0.00000000,-5.80135390,-5.80135390,-5.80135390,-5.80135390,,0.00000000,0.00000000,1,-5.80135390,-5.80135390,-5.80135390,-5.80135390,,0.00000000,0.00000000,1,0.10535390,0.10535390,0.10535390,1,1,,,"Degim, 1998","Degim, 1998",1,1,10.1016/S0378-5173(98)00113-6,10.1016/S0378-5173(98)00113-6,1,1
94,Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,1,0,100.00000000,Single measurement,-6.20100000,-6.20100000,-6.20100000,-6.20100000,,0.00000000,0.00000000,1.00000000,-6.20100000,-6.20100000,-6.20100000,-6.20100000,,0.00000000,0.00000000,-6.18206863,-6.18206863,-6.18206863,-6.18206863,,0.00000000,0.00000000,1,-6.18206863,-6.18206863,-6.18206863,-6.18206863,,0.00000000,0.00000000,1,0.01893137,0.01893137,0.01893137,1,1,30,30,"Hadgraft, 1987","Hadgraft, 1987",1,1,10.1016/0378-5173(87)90210-9,10.1016/0378-5173(87)90210-9,1,1
95,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,OC(COc1ccc(cc1)CC(=O)N)CNC(C)C,1,1,0,100.00000000,Single measurement,-7.85700000,-7.85700000,-7.85700000,-7.85700000,,0.00000000,0.00000000,1.00000000,-7.85700000,-7.85700000,-7.85700000,-7.85700000,,0.00000000,0.00000000,-7.55318636,-7.55318636,-7.55318636,-7.55318636,,0.00000000,0.00000000,1,-7.55318636,-7.55318636,-7.55318636,-7.55318636,,0.00000000,0.00000000,1,0.30381364,0.30381364,0.30381364,1,1,32,32,"Modamio, 2000","Modamio, 2000",1,1,10.1016/S0378-5173(99)00380-4,10.1016/S0378-5173(99)00380-4,1,1
96,Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,CCC1(CC)C(=O)NC(=O)NC1=O,1,1,0,100.00000000,Single measurement,-7.50900000,-7.50900000,-7.50900000,-7.50900000,,0.00000000,0.00000000,1.00000000,-7.50900000,-7.50900000,-7.50900000,-7.50900000,,0.00000000,0.00000000,-7.50766200,-7.50766200,-7.50766200,-7.50766200,,0.00000000,0.00000000,1,-7.50766200,-7.50766200,-7.50766200,-7.50766200,,0.00000000,0.00000000,1,0.00133800,0.00133800,0.00133800,1,1,30,30,"Hadgraft, 1987","Hadgraft, 1987",1,1,10.1016/0378-5173(87)90210-9,10.1016/0378-5173(87)90210-9,1,1
97,Bisoprolol Fumarate,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O,OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C.OC(=O)/C=C/C(=O)O,1,1,0,100.00000000,Single measurement,-7.12500000,-7.12500000,-7.12500000,-7.12500000,,0.00000000,0.00000000,1.00000000,-7.12500000,-7.12500000,-7.12500000,-7.12500000,,0.00000000,0.00000000,-6.97965237,-6.97965237,-6.97965237,-6.97965237,,0.00000000,0.00000000,1,-6.97965237,-6.97965237,-6.97965237,-6.97965237,,0.00000000,0.00000000,1,0.14534763,0.14534763,0.14534763,1,1,32,32,"Modamio, 1998","Modamio, 1998",1,1,10.1016/S0378-5173(98)00214-2,10.1016/S0378-5173(98)00214-2,1,1
98,Borax,[Na+].[Na+].[O-]B1OB2OB([O-])OB(O1)O2,[O-]B1OB2OB(OB(O1)O2)[O-].[Na+].[Na+],1,1,0,100.00000000,Single measurement,-7.32600000,-7.32600000,-7.32600000,-7.32600000,,0.00000000,0.00000000,1.00000000,-7.32600000,-7.32600000,-7.32600000,-7.32600000,,0.00000000,0.00000000,-6.79743137,-6.79743137,-6.79743137,-6.79743137,,0.00000000,0.00000000,1,-6.79743137,-6.79743137,-6.79743137,-6.79743137,,0.00000000,0.00000000,1,0.52856863,0.52856863,0.52856863,1,1,32,32,"Wester, 1998","Wester, 1998",1,1,10.1006/toxs.1998.2490,10.1006/toxs.1998.2490,1,1
99,Boric acid,OB(O)O,OB(O)O,1,1,0,100.00000000,Single measurement,-7.19900000,-7.19900000,-7.19900000,-7.19900000,,0.00000000,0.00000000,1.00000000,-7.19900000,-7.19900000,-7.19900000,-7.19900000,,0.00000000,0.00000000,-7.22136663,-7.22136663,-7.22136663,-7.22136663,,0.00000000,0.00000000,1,-7.22136663,-7.22136663,-7.22136663,-7.22136663,,0.00000000,0.00000000,1,0.02236663,0.02236663,0.02236663,1,1,32,32,"Wester, 1998","Wester, 1998",1,1,10.1006/toxs.1998.2490,10.1006/toxs.1998.2490,1,1
100,Bromoacetic acid,O=C(O)CBr,OC(=O)CBr,1,1,0,100.00000000,Single measurement,-6.41000000,-6.41000000,-6.41000000,-6.41000000,,0.00000000,0.00000000,1.00000000,-6.41000000,-6.41000000,-6.41000000,-6.41000000,,0.00000000,0.00000000,-5.98336273,-5.98336273,-5.98336273,-5.98336273,,0.00000000,0.00000000,1,-5.98336273,-5.98336273,-5.98336273,-5.98336273,,0.00000000,0.00000000,1,0.42663727,0.42663727,0.42663727,1,1,40,40,"Xu, 2002","Xu, 2002",1,1,10.1006/taap.2002.9494,10.1006/taap.2002.9494,1,1
101,Bromochloroacetic acid,O=C(O)C(Cl)Br,OC(=O)C(Br)Cl,1,1,0,100.00000000,Single measurement,-6.35200000,-6.35200000,-6.35200000,-6.35200000,,0.00000000,0.00000000,1.00000000,-6.35200000,-6.35200000,-6.35200000,-6.35200000,,0.00000000,0.00000000,-5.96603700,-5.96603700,-5.96603700,-5.96603700,,0.00000000,0.00000000,1,-5.96603700,-5.96603700,-5.96603700,-5.96603700,,0.00000000,0.00000000,1,0.38596300,0.38596300,0.38596300,1,1,40,40,"Xu, 2002","Xu, 2002",1,1,10.1006/taap.2002.9494,10.1006/taap.2002.9494,1,1
102,Bromodichloromethane,ClC(Cl)Br,ClC(Br)Cl,1,1,0,100.00000000,Single measurement,-4.30100000,-4.30100000,-4.30100000,-4.30100000,,0.00000000,0.00000000,1.00000000,-4.30100000,-4.30100000,-4.30100000,-4.30100000,,0.00000000,0.00000000,-4.88703062,-4.88703062,-4.88703062,-4.88703062,,0.00000000,0.00000000,1,-4.88703062,-4.88703062,-4.88703062,-4.88703062,,0.00000000,0.00000000,1,0.58603062,0.58603062,0.58603062,1,1,25,25,"Xu, 2002","Xu, 2002",1,1,10.1006/taap.2002.9494,10.1006/taap.2002.9494,1,1
103,Butyl 4-hydroxybenzoat,CCCCOC(=O)c1ccc(O)cc1,CCCCOC(=O)c1ccc(cc1)O,1,1,0,100.00000000,Single measurement,-4.53800000,-4.53800000,-4.53800000,-4.53800000,,0.00000000,0.00000000,1.00000000,-4.53800000,-4.53800000,-4.53800000,-4.53800000,,0.00000000,0.00000000,-4.64075240,-4.64075240,-4.64075240,-4.64075240,,0.00000000,0.00000000,1,-4.64075240,-4.64075240,-4.64075240,-4.64075240,,0.00000000,0.00000000,1,0.10275240,0.10275240,0.10275240,1,1,32,32,"Akomeah, 2007","Akomeah, 2007",1,1,10.1002/jps.20773,10.1002/jps.20773,1,1
104,Butyl nicotinate,CCCCOC(=O)c1cccnc1,CCCCOC(=O)c1cccnc1,1,1,0,100.00000000,Single measurement,-5.33500000,-5.33500000,-5.33500000,-5.33500000,,0.00000000,0.00000000,1.00000000,-5.33500000,-5.33500000,-5.33500000,-5.33500000,,0.00000000,0.00000000,-5.07542862,-5.07542862,-5.07542862,-5.07542862,,0.00000000,0.00000000,1,-5.07542862,-5.07542862,-5.07542862,-5.07542862,,0.00000000,0.00000000,1,0.25957138,0.25957138,0.25957138,1,1,37,37,"Dalpozzo, 1991","Dalpozzo, 1991",1,1,10.1002/jps.2600800114,10.1002/jps.2600800114,1,1
105,Catechol,Oc1ccccc1O,Oc1ccccc1O,1,1,0,100.00000000,Single measurement,-6.06600000,-6.06600000,-6.06600000,-6.06600000,,0.00000000,0.00000000,1.00000000,-6.06600000,-6.06600000,-6.06600000,-6.06600000,,0.00000000,0.00000000,-6.11374250,-6.11374250,-6.11374250,-6.11374250,,0.00000000,0.00000000,1,-6.11374250,-6.11374250,-6.11374250,-6.11374250,,0.00000000,0.00000000,1,0.04774250,0.04774250,0.04774250,1,1,37,37,"du Plessis, 2002","du Plessis, 2002",1,1,10.1016/S0928-0987(02)00085-4,10.1016/S0928-0987(02)00085-4,1,1
106,Celiprolol Hydrochloride,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1.Cl,CCN(C(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)(C)C)O)CC.Cl,1,1,0,100.00000000,Single measurement,-6.78500000,-6.78500000,-6.78500000,-6.78500000,,0.00000000,0.00000000,1.00000000,-6.78500000,-6.78500000,-6.78500000,-6.78500000,,0.00000000,0.00000000,-6.25949343,-6.25949343,-6.25949343,-6.25949343,,0.00000000,0.00000000,1,-6.25949343,-6.25949343,-6.25949343,-6.25949343,,0.00000000,0.00000000,1,0.52550657,0.52550657,0.52550657,1,1,32,32,"Modamio, 1998","Modamio, 1998",1,1,10.1016/S0378-5173(98)00214-2,10.1016/S0378-5173(98)00214-2,1,1
107,Chloral hydrate,OC(O)C(Cl)(Cl)Cl,OC(C(Cl)(Cl)Cl)O,1,1,0,100.00000000,Single measurement,-5.96500000,-5.96500000,-5.96500000,-5.96500000,,0.00000000,0.00000000,1.00000000,-5.96500000,-5.96500000,-5.96500000,-5.96500000,,0.00000000,0.00000000,-6.34450184,-6.34450184,-6.34450184,-6.34450184,,0.00000000,0.00000000,1,-6.34450184,-6.34450184,-6.34450184,-6.34450184,,0.00000000,0.00000000,1,0.37950184,0.37950184,0.37950184,1,1,37,37,"Trabaris, 2012","Trabaris, 2012",1,1,10.1002/jat.1657,10.1002/jat.1657,1,1
108,Chloroacetic acid,O=C(O)CCl,OC(=O)CCl,1,1,0,100.00000000,Single measurement,-6.51500000,-6.51500000,-6.51500000,-6.51500000,,0.00000000,0.00000000,1.00000000,-6.51500000,-6.51500000,-6.51500000,-6.51500000,,0.00000000,0.00000000,-6.07525353,-6.07525353,-6.07525353,-6.07525353,,0.00000000,0.00000000,1,-6.07525353,-6.07525353,-6.07525353,-6.07525353,,0.00000000,0.00000000,1,0.43974647,0.43974647,0.43974647,1,1,40,40,"Xu, 2002","Xu, 2002",1,1,10.1006/taap.2002.9494,10.1006/taap.2002.9494,1,1
109,Chloroform,ClC(Cl)Cl,ClC(Cl)Cl,1,1,0,100.00000000,Single measurement,-4.35200000,-4.35200000,-4.35200000,-4.35200000,,0.00000000,0.00000000,1.00000000,-4.35200000,-4.35200000,-4.35200000,-4.35200000,,0.00000000,0.00000000,-4.87644390,-4.87644390,-4.87644390,-4.87644390,,0.00000000,0.00000000,1,-4.87644390,-4.87644390,-4.87644390,-4.87644390,,0.00000000,0.00000000,1,0.52444390,0.52444390,0.52444390,1,1,25,25,"Xu, 2002","Xu, 2002",1,1,10.1006/taap.2002.9494,10.1006/taap.2002.9494,1,1
110,Cortexone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,OCC(=O)[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,1,1,0,100.00000000,Single measurement,-6.90300000,-6.90300000,-6.90300000,-6.90300000,,0.00000000,0.00000000,1.00000000,-6.90300000,-6.90300000,-6.90300000,-6.90300000,,0.00000000,0.00000000,-6.81966170,-6.81966170,-6.81966170,-6.81966170,,0.00000000,0.00000000,1,-6.81966170,-6.81966170,-6.81966170,-6.81966170,,0.00000000,0.00000000,1,0.08333830,0.08333830,0.08333830,1,1,26,26,"Scheuplein, 1969","Scheuplein, 1969",1,1,10.1038/jid.1969.9,10.1038/jid.1969.9,1,1
111,Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,OCC(=O)[C@@]1(O)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F,1,1,0,100.00000000,Single measurement,-7.75000000,-7.75000000,-7.75000000,-7.75000000,,0.00000000,0.00000000,1.00000000,-7.75000000,-7.75000000,-7.75000000,-7.75000000,,0.00000000,0.00000000,-7.78650657,-7.78650657,-7.78650657,-7.78650657,,0.00000000,0.00000000,1,-7.78650657,-7.78650657,-7.78650657,-7.78650657,,0.00000000,0.00000000,1,0.03650657,0.03650657,0.03650657,1,1,,,"Johnson, 1996","Johnson, 1996",1,1,10.1021/js960079z,10.1021/js960079z,1,1
112,Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,1,1,0,100.00000000,Single measurement,-5.61700000,-5.61700000,-5.61700000,-5.61700000,,0.00000000,0.00000000,1.00000000,-5.61700000,-5.61700000,-5.61700000,-5.61700000,,0.00000000,0.00000000,-5.67907871,-5.67907871,-5.67907871,-5.67907871,,0.00000000,0.00000000,1,-5.67907871,-5.67907871,-5.67907871,-5.67907871,,0.00000000,0.00000000,1,0.06207871,0.06207871,0.06207871,1,1,,,"Buist, 2010","Buist, 2010",1,1,10.1016/j.yrtph.2010.02.008,10.1016/j.yrtph.2010.02.008,1,1
113,Dibromoacetic acid,O=C(O)C(Br)Br,BrC(C(=O)O)Br,1,1,0,100.00000000,Single measurement,-6.14100000,-6.14100000,-6.14100000,-6.14100000,,0.00000000,0.00000000,1.00000000,-6.14100000,-6.14100000,-6.14100000,-6.14100000,,0.00000000,0.00000000,-6.06796338,-6.06796338,-6.06796338,-6.06796338,,0.00000000,0.00000000,1,-6.06796338,-6.06796338,-6.06796338,-6.06796338,,0.00000000,0.00000000,1,0.07303662,0.07303662,0.07303662,1,1,40,40,"Xu, 2002","Xu, 2002",1,1,10.1006/taap.2002.9494,10.1006/taap.2002.9494,1,1
114,Dichloroacetic acid,O=C(O)C(Cl)Cl,ClC(C(=O)O)Cl,1,1,0,100.00000000,Single measurement,-6.27800000,-6.27800000,-6.27800000,-6.27800000,,0.00000000,0.00000000,1.00000000,-6.27800000,-6.27800000,-6.27800000,-6.27800000,,0.00000000,0.00000000,-6.10701965,-6.10701965,-6.10701965,-6.10701965,,0.00000000,0.00000000,1,-6.10701965,-6.10701965,-6.10701965,-6.10701965,,0.00000000,0.00000000,1,0.17098035,0.17098035,0.17098035,1,1,40,40,"Xu, 2002","Xu, 2002",1,1,10.1006/taap.2002.9494,10.1006/taap.2002.9494,1,1
115,Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1,1,0,100.00000000,Single measurement,-6.55600000,-6.55600000,-6.55600000,-6.55600000,,0.00000000,0.00000000,1.00000000,-6.55600000,-6.55600000,-6.55600000,-6.55600000,,0.00000000,0.00000000,-6.31830995,-6.31830995,-6.31830995,-6.31830995,,0.00000000,0.00000000,1,-6.31830995,-6.31830995,-6.31830995,-6.31830995,,0.00000000,0.00000000,1,0.23769005,0.23769005,0.23769005,1,1,,,"Degim, 1998","Degim, 1998",1,1,10.1016/S0378-5173(98)00113-6,10.1016/S0378-5173(98)00113-6,1,1
116,Dimethylethylamine,CCN(C)C,CCN(C)C,1,1,0,100.00000000,Single measurement,-6.07900000,-6.07900000,-6.07900000,-6.07900000,,0.00000000,0.00000000,1.00000000,-6.07900000,-6.07900000,-6.07900000,-6.07900000,,0.00000000,0.00000000,-6.01960398,-6.01960398,-6.01960398,-6.01960398,,0.00000000,0.00000000,1,-6.01960398,-6.01960398,-6.01960398,-6.01960398,,0.00000000,0.00000000,1,0.05939602,0.05939602,0.05939602,1,1,,,"Lundh, 1997","Lundh, 1997",1,1,10.1007/s004200050223,10.1007/s004200050223,1,1
117,Disodium octaborate tetrahydrate,O.O.O.O.[Na+].[Na+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-],[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].O.O.O.O.[Na+].[Na+],1,1,0,100.00000000,Single measurement,-7.65300000,-7.65300000,-7.65300000,-7.65300000,,0.00000000,0.00000000,1.00000000,-7.65300000,-7.65300000,-7.65300000,-7.65300000,,0.00000000,0.00000000,-7.22438885,-7.22438885,-7.22438885,-7.22438885,,0.00000000,0.00000000,1,-7.22438885,-7.22438885,-7.22438885,-7.22438885,,0.00000000,0.00000000,1,0.42861115,0.42861115,0.42861115,1,1,32,32,"Wester, 1998","Wester, 1998",1,1,10.1006/toxs.1998.2490,10.1006/toxs.1998.2490,1,1
118,Estriol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1C[C@H]([C@@H]2O)O)C,1,1,0,100.00000000,Single measurement,-7.95400000,-7.95400000,-7.95400000,-7.95400000,,0.00000000,0.00000000,1.00000000,-7.95400000,-7.95400000,-7.95400000,-7.95400000,,0.00000000,0.00000000,-7.45674154,-7.45674154,-7.45674154,-7.45674154,,0.00000000,0.00000000,1,-7.45674154,-7.45674154,-7.45674154,-7.45674154,,0.00000000,0.00000000,1,0.49725846,0.49725846,0.49725846,1,1,26,26,"Scheuplein, 1969","Scheuplein, 1969",1,1,10.1038/jid.1969.9,10.1038/jid.1969.9,1,1
119,Estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C,1,1,0,100.00000000,Single measurement,-6.00000000,-6.00000000,-6.00000000,-6.00000000,,0.00000000,0.00000000,1.00000000,-6.00000000,-6.00000000,-6.00000000,-6.00000000,,0.00000000,0.00000000,-5.98353807,-5.98353807,-5.98353807,-5.98353807,,0.00000000,0.00000000,1,-5.98353807,-5.98353807,-5.98353807,-5.98353807,,0.00000000,0.00000000,1,0.01646193,0.01646193,0.01646193,1,1,26,26,"Scheuplein, 1969","Scheuplein, 1969",1,1,10.1038/jid.1969.9,10.1038/jid.1969.9,1,1
120,Ethacrynic acid,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,1,1,0,100.00000000,Single measurement,-7.38000000,-7.38000000,-7.38000000,-7.38000000,,0.00000000,0.00000000,1.00000000,-7.38000000,-7.38000000,-7.38000000,-7.38000000,,0.00000000,0.00000000,-7.19405858,-7.19405858,-7.19405858,-7.19405858,,0.00000000,0.00000000,1,-7.19405858,-7.19405858,-7.19405858,-7.19405858,,0.00000000,0.00000000,1,0.18594142,0.18594142,0.18594142,1,1,,,"Buist, 2010","Buist, 2010",1,1,10.1016/j.yrtph.2010.02.008,10.1016/j.yrtph.2010.02.008,1,1
121,Ethyl p-aminobenzoate,CCOC(=O)c1ccc(N)cc1,CCOC(=O)c1ccc(cc1)N,1,1,0,100.00000000,Single measurement,-5.25500000,-5.25500000,-5.25500000,-5.25500000,,0.00000000,0.00000000,1.00000000,-5.25500000,-5.25500000,-5.25500000,-5.25500000,,0.00000000,0.00000000,-5.62783176,-5.62783176,-5.62783176,-5.62783176,,0.00000000,0.00000000,1,-5.62783176,-5.62783176,-5.62783176,-5.62783176,,0.00000000,0.00000000,1,0.37283176,0.37283176,0.37283176,1,1,25,25,"Roy, 1993","Roy, 1993",1,1,10.1002/jps.2600821217,10.1002/jps.2600821217,1,1
122,Flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C,1,1,0,100.00000000,Single measurement,-5.33100000,-5.33100000,-5.33100000,-5.33100000,,0.00000000,0.00000000,1.00000000,-5.33100000,-5.33100000,-5.33100000,-5.33100000,,0.00000000,0.00000000,-5.84809304,-5.84809304,-5.84809304,-5.84809304,,0.00000000,0.00000000,1,-5.84809304,-5.84809304,-5.84809304,-5.84809304,,0.00000000,0.00000000,1,0.51709304,0.51709304,0.51709304,1,1,37,37,"Swart, 2005","Swart, 2005",1,1,10.1016/j.ijpharm.2005.05.030,10.1016/j.ijpharm.2005.05.030,1,1
