Compound,SMILES,Experimental_logKp
"2,4-dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,-1.24
o-Chlorophenol,C1=CC=C(C(=C1)O)Cl,-1.48
Hydrocortisone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,-3.64
2-(Acetylamino)fluorene,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,-1.16
Nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,-4.1
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.94
sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-4.0
Pentanol,CCCCCO,-2.22
Mannitol,C(C(C(C(C(CO)O)O)O)O)O,-4.6
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.45
Benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,-1.14
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.81
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.37
"2,4-Dinitrochlorobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,-1.58
Fentanyl base,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,-1.98
Decanol,CCCCCCCCCCO,-1.05
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.68
Ethanol,CCO,-3.1
Glycerol,C(C(CO)O)O,-3.01
Propylparaben,CCCOC(=O)C1=CC=C(C=C1)O,-1.27
"2,4-Dichloroacetophenone",C1=CC(=CC=C1C(=O)CCl)Cl,-1.86
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.59
alfa-(4-Hydroxyphenyl) acetamide,C1=CC(=CC=C1CC(=O)N)O,-3.35
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.8
"Nicotinate, methyl",COC(=O)C1=CN=CC=C1,-3.31
Timolol,CC(C)(C)NCC(COC1=NSN=C1N2CCOCC2)O,-3.54
Propylparaben,CCCOC(=O)C1=CC=C(C=C1)O,-1.2
Urea,C(=O)(N)N,-3.83
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.67
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.54
Aldosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,-4.01
Beta-estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-3.52
n-decanol,CCCCCCCCCCO,-1.1
Toluene,CC1=CC=CC=C1,-0.08
sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-3.99
Diethyl maleate,CCOC(=O)C=CC(=O)OCC,-1.67
Fentanyl base,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,-1.95
cortisone,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,-3.82
p-Nitrophenol; 4-nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,-2.25
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-1.68
Methylparaben,COC(=O)C1=CC=C(C=C1)O,-2.03
Hydroquinone,C1=CC(=CC=C1O)O,-1.9
Corticosterone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O,-2.39
acetic acid,CC(=O)O,-2.85
Butylparaben,CCCCOC(=O)C1=CC=C(C=C1)O,-0.98
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-2.63
testosterone,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,-2.03
Progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,-1.52
Isoeugenol,CC=CC1=CC(=C(C=C1)O)OC,-1.75
p-Chlorophenol,C1=CC(=CC=C1O)Cl,-1.45
Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,-2.52
sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,-4.17
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,-4.7
Geraniol,CC(=CCCC(=CCO)C)C,-1.01
Hydrocortisone,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,-2.02
